name,link,sizeInMB
49182092.zip,https://drive.google.com/file/d/1vVP2gJ2VcyE1-4lBH-0aJJ1IdoKYbm5s/view?usp=drivesdk,661.2102327
79751050.zip,https://drive.google.com/file/d/1vaCgpfvkfRuKQQkTdt7VQDgpDKRC4vic/view?usp=drivesdk,801.7212334
39182506.zip,https://drive.google.com/file/d/1vS_zu3S82dVUgqcBfnLwdPwfnPb85tN3/view?usp=drivesdk,559.5938492
07613176.zip,https://drive.google.com/file/d/1vMyPhziAALCFjCf8392ZvMr1qzj17uYQ/view?usp=drivesdk,507.5946903
93230373.zip,https://drive.google.com/file/d/1vbMVsOW27FNxKozsGXCmeXDmpr5npSH_/view?usp=drivesdk,228.9126921
35187603.zip,https://drive.google.com/file/d/1vRguyOHHG9xK6Ml9AXq3cjU_aLJtWLvk/view?usp=drivesdk,134.7785597
54165023.zip,https://drive.google.com/file/d/1vXpqm0TQynfy2zjToMW9W46VgOn9Xdwf/view?usp=drivesdk,330.5212593
42360672.zip,https://drive.google.com/file/d/1vV-QIDkIXXshhm6CX8IgQGnO1zd_U9si/view?usp=drivesdk,198.6892433
84241955.zip,https://drive.google.com/file/d/1vb2ZVvQkSCTkhXJJw7uCZ2UfY8H6ttoK/view?usp=drivesdk,90.31508446
01949240.zip,https://drive.google.com/file/d/1v9jnjZ4unShoLHrwvm4zMU7Qr7BI1nT8/view?usp=drivesdk,256.3140011
98974339.zip,https://drive.google.com/file/d/1Nicr5lifgnUTcces8FLHha86C2umz67x/view?usp=drivesdk,1701.510784
49623237.zip,https://drive.google.com/file/d/1Q7s-770Gsl3boy4F_DRz1ClvP2jrW4Y7/view?usp=drivesdk,67.48491478
49141524.zip,https://drive.google.com/file/d/1Q1YHIcJvgQvob2MAf66iwOP4bqZFKNFn/view?usp=drivesdk,432.8917456
42052178.zip,https://drive.google.com/file/d/1Q9snz04n5ot_ITZ19NC4qTtHOiVd0Yjn/view?usp=drivesdk,158.6963692
41663654.zip,https://drive.google.com/file/d/1QGkOEropm9SOyYCQUwj0Bu3jiSaGbTX6/view?usp=drivesdk,3.535859108
